RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,NON-DI
293,293,Central Conn. St.,Northeast,Nov-19,06-Oct,0- 1,04-Aug,1-0
294,294,Florida A&M,Mid-Eastern,14-18,Mar-13,02-Feb,07-Mar,2-0
294,294,Central Mich.,Mid-American,Oct-21,Feb-13,0- 0,06-Aug,2-0
296,296,Jackson St.,Southwestern,Nov-20,May-13,0- 1,06-Jun,0-0
297,297,Saint Francis (PA),Northeast,Oct-21,May-13,0- 0,05-Aug,0-0
298,298,LIU Brooklyn,Northeast,Sep-20,04-Nov,0- 2,05-Jul,0-0
299,299,Rice,Conference USA,Jul-23,02-Nov,0- 3,03-Sep,2-0
300,300,Tennessee St.,OVC,May-25,Feb-13,0- 2,02-Oct,1-0
301,301,UNC Greensboro,Southern,14-18,04-Aug,01-Mar,06-Jul,3-0
302,302,Niagara,Metro Atlantic,Jul-26,Jan-14,02-Mar,04-Sep,0-0
303,303,Ga. Southern,Southern,15-19,05-Nov,03-Feb,04-Jun,3-0
304,304,Prairie View,Southwestern,Nov-23,Feb-16,04-Jan,04-Jun,1-0
305,305,Austin Peay,OVC,Dec-18,03-Nov,01-Jan,06-Jun,2-0
306,306,UTSA,Conference USA,Aug-22,01-Dec,0- 1,05-Aug,02-Jan
307,307,Texas St.,Sun Belt,Aug-23,Jan-13,02-Jan,03-Sep,2-0
308,308,NJIT,Division I Independents,13-16,06-Oct,0- 0,03-Jun,4-0
309,309,Ball St.,Mid-American,May-25,0-16,0- 0,03-Sep,2-0
310,310,Northern Ky.,Atlantic Sun,Sep-21,02-Dec,0- 2,07-Jul,0-0
311,311,Liberty,Big South,Nov-21,02-Dec,02-Jan,04-Aug,3-0
312,312,Tex.-Pan American,Western Athletic,Sep-23,05-Nov,01-Feb,02-Oct,1-0
313,313,Samford,Southern,13-20,Feb-15,01-Jan,07-Apr,3-0
314,314,Alcorn,Southwestern,Dec-19,Mar-13,0- 3,06-Mar,3-0
315,315,Ill.-Chicago,Horizon,Jun-25,02-Nov,02-Feb,0-12,2-0
316,316,Campbell,Big South,Dec-20,03-Dec,0- 1,06-Jun,03-Jan
317,317,Jacksonville St.,OVC,Oct-21,Feb-14,01-Jan,05-Jun,2-0
318,318,Southeastern La.,Southland,Dec-18,04-Nov,0- 2,04-May,4-0
319,319,UC Riverside,Big West,Oct-21,Feb-13,0- 1,06-Jul,2-0
320,320,SIU Edwardsville,OVC,Nov-20,02-Dec,0- 3,07-May,2-0
321,321,Navy,Patriot,Sep-21,Feb-15,0- 0,06-Jun,1-0
322,322,IUPUI,Summit,Jun-26,Jan-13,0- 3,02-Oct,3-0
323,323,Howard,Mid-Eastern,Aug-25,Feb-17,02-Feb,02-Jun,2-0
324,324,Kennesaw St.,Atlantic Sun,Jun-25,Feb-14,0- 0,02-Nov,2-0
325,326,Binghamton,America East,Jul-23,04-Dec,0- 1,03-Oct,0-0
326,325,UC Davis,Big West,Sep-22,Jan-13,2- 0,04-Sep,2-0
327,327,UMBC,America East,Sep-21,Jan-16,0- 0,07-May,1-0
328,328,Central Ark.,Southland,Aug-21,01-Nov,0- 0,05-Aug,02-Feb
329,329,Delaware St.,Mid-Eastern,Sep-21,02-Dec,0- 2,05-Jul,2-0
330,331,Maine,America East,Jun-23,Jan-13,01-Jan,03-Sep,1-0
331,330,South Carolina St.,Mid-Eastern,Sep-21,Feb-14,0- 1,05-Jun,2-0
332,332,UT Martin,OVC,Aug-23,Mar-13,0- 0,03-Oct,2-0
333,333,Stetson,Atlantic Sun,Jul-24,Jan-15,0- 3,06-Jun,0-0
334,334,Cornell,Ivy,Feb-26,0-15,0- 0,01-Nov,1-0
335,335,Appalachian St.,Southern,Sep-21,Feb-13,0- 1,03-Jul,4-0
336,336,N.C. A&T,Mid-Eastern,Sep-23,Jan-17,01-Jan,06-May,1-0
337,337,Longwood,Big South,Aug-24,03-Dec,0- 3,01-Sep,4-0
338,338,Sacred Heart,Northeast,May-26,Apr-14,0- 2,01-Oct,0-0
339,339,Furman,Southern,Sep-21,03-Dec,0- 1,04-Jul,02-Jan
340,340,New Hampshire,America East,Jun-24,03-Dec,0- 1,02-Nov,1-0
341,341,Houston Baptist,Southland,Jun-25,Jan-13,0- 2,03-Aug,02-Feb
342,342,Mississippi Val.,Southwestern,Sep-23,Jan-17,01-Jan,04-May,3-0
343,343,Bethune-Cookman,Mid-Eastern,Jul-25,Feb-17,0- 2,03-Jun,2-0
344,344,Lamar,Southland,Apr-26,0-13,01-Jan,02-Nov,01-Jan
345,345,Citadel,Southern,Jul-26,0-15,01-Feb,03-Aug,03-Jan
346,346,Southern Utah,Big Sky,Feb-27,0-16,0- 0,01-Nov,1-0
347,347,UMES,Mid-Eastern,Jun-24,Jan-15,0- 1,04-Jul,01-Jan
348,348,Grambling,Southwestern,May-24,Jan-15,01-Jan,02-Jul,01-Jan
349,349,Presbyterian,Big South,Jun-26,Jan-15,0- 3,03-Aug,2-0
